filename	scene_label	airport	bus	metro	metro_station	park	public_square	shopping_mall	street_pedestrian	street_traffic	tram
unknown	shopping_mall	0.01661374606192112	0.00037631861050613225	0.00297358725219965	0.2753235101699829	0.0006882082670927048	0.02337520383298397	0.6409379839897156	0.03646373376250267	0.002374425996094942	0.0008732518181204796
unknown	tram	0.004210824612528086	0.005174770951271057	0.018695678561925888	0.030353520065546036	0.009849938564002514	0.011117572896182537	0.07576163858175278	0.019233383238315582	0.004941098392009735	0.8206615447998047
unknown	public_square	0.010057322680950165	0.00011287565575912595	0.0001165023713838309	3.538708915584721e-05	0.007268477231264114	0.9622163772583008	0.00026815064484253526	0.01677672564983368	0.003071072744205594	7.704523159191012e-05
unknown	park	0.0013348172651603818	0.0002797755296342075	0.00015689061547163874	0.0004082396626472473	0.9219669103622437	0.0476885624229908	0.0001430817792424932	0.007028169464319944	0.02078862674534321	0.0002050030743703246
unknown	tram	0.00031054846476763487	0.0896025151014328	0.02936854586005211	0.00032466117409057915	0.00040109234396368265	0.0009731656173244119	0.0003744979330804199	0.0008596706902608275	0.000663480197545141	0.8771217465400696
unknown	public_square	0.0020900468807667494	0.00011977974645560607	0.027619250118732452	0.09014440327882767	0.00189212616533041	0.5538620352745056	0.015268665738403797	0.29752200841903687	0.005657034460455179	0.005824702326208353
unknown	street_traffic	0.0030197706073522568	0.0014488520100712776	0.0022931427229195833	0.0013237240491434932	0.00905653927475214	0.008097776211798191	0.005371599458158016	0.0035469215363264084	0.9635484218597412	0.002293349476531148
unknown	metro_station	0.014301595278084278	0.0013023768551647663	0.3172883987426758	0.6011061668395996	0.0015568379312753677	0.018996136263012886	0.017218515276908875	0.020805910229682922	0.0010725859319791198	0.006351477466523647
unknown	public_square	0.12667226791381836	0.007317612878978252	0.007461665663868189	0.005619620904326439	0.010318070650100708	0.4861818552017212	0.008851694874465466	0.3314901292324066	0.005754993297159672	0.010332073085010052
unknown	shopping_mall	0.01356283575296402	0.0003565991355571896	0.001158331404440105	0.06838279217481613	0.0008011491736397147	0.001512646209448576	0.9040761590003967	0.0033762517850846052	0.005403321236371994	0.0013699245173484087
unknown	park	0.0004344358167145401	0.0014613665407523513	0.0006977506563998759	0.0016325856558978558	0.866584062576294	0.010794000700116158	0.0009053315152414143	0.00035040598595514894	0.11631488054990768	0.0008251761319115758
unknown	shopping_mall	0.010741101577877998	0.02207777462899685	0.013548986986279488	0.09548092633485794	0.017224427312612534	0.042549628764390945	0.6826971173286438	0.07969065755605698	0.021061871200799942	0.01492753904312849
unknown	metro	0.003838128875941038	0.004076067823916674	0.8632879853248596	0.045044589787721634	0.0029288455843925476	0.005796421319246292	0.0007920550997368991	0.004983664024621248	0.009548347443342209	0.05970405787229538
unknown	metro_station	0.01900082267820835	0.009177297353744507	0.03442457318305969	0.3783620595932007	0.11667139828205109	0.11622555553913116	0.11729341000318527	0.17073272168636322	0.018397144973278046	0.019714972004294395
unknown	tram	0.008024348877370358	0.1867249310016632	0.0597463995218277	0.006855510640889406	0.001203895197249949	0.0027514328248798847	0.005618537776172161	0.004219301976263523	0.001777589786797762	0.7230780720710754
unknown	park	5.007222716812976e-05	0.005768741946667433	0.00023978464014362544	2.1175303118070588e-05	0.9844141006469727	0.00047480169450864196	8.83811735548079e-05	3.5919176298193634e-05	0.00880707148462534	9.99169860733673e-05
